"State,move",QValue
"('---O--X--', 8)",0.0
"('---O--X-X', 1)",0.8698395363556304
"('---O--X-X', 2)",0.8765472468118635
"('---O--X-X', 4)",0.8922500749415709
"('---O--X-X', 5)",0.8758710234174589
"('---O--X-X', 7)",0.0
"('---O--XOX', 1)",0.0
"('---O--XOX', 2)",0.0
"('---O--XOX', 4)",0.0
"('---O--XOX', 5)",0.0
"('---O--XX-', 1)",0.8139071976451407
"('---O--XX-', 2)",0.8789435767968926
"('---O--XX-', 4)",0.8955019479264703
"('---O--XX-', 5)",0.8861930099981015
"('---O--XX-', 8)",0.0
"('---O--XXO', 1)",0.0
"('---O--XXO', 2)",0.0
"('---O--XXO', 4)",0.0
"('---O--XXO', 5)",0.0
"('---O-O-XX', 1)",-0.23409
"('---O-O-XX', 2)",-0.5729956038648
"('---O-O-XX', 4)",0.0
"('---O-O-XX', 6)",0.9998773880119165
"('---O-OX-X', 1)",-0.42296752611
"('---O-OX-X', 2)",-0.27378
"('---O-OX-X', 4)",0.0
"('---O-OX-X', 7)",0.9996090178951418
"('---O-OXX-', 1)",-0.19440000000000002
"('---O-OXX-', 2)",-0.75986033949846
"('---O-OXX-', 4)",0.0
"('---O-OXX-', 8)",0.9997263125265993
"('---O-X---', 1)",0.0
"('---O-X---', 2)",0.0
"('---O-X---', 4)",0.0
"('---O-X---', 6)",0.0
"('---O-X---', 7)",0.0
"('---O-X---', 8)",0.0
"('---O-X--X', 1)",0.8880968852096826
"('---O-X--X', 2)",0.0
"('---O-X--X', 4)",0.8810273018902988
"('---O-X--X', 6)",0.8669842269671569
"('---O-X--X', 7)",0.8487514413133975
"('---O-X-OX', 1)",0.0
"('---O-X-OX', 2)",0.9992020773370239
"('---O-X-OX', 4)",0.0
"('---O-X-OX', 6)",0.0
"('---O-X-X-', 1)",0.0
"('---O-X-X-', 2)",0.0
"('---O-X-X-', 4)",0.0
"('---O-X-X-', 6)",0.0
"('---O-X-X-', 8)",0.0
"('---O-X-XO', 1)",0.0
"('---O-X-XO', 2)",0.0
"('---O-X-XO', 4)",0.0
"('---O-X-XO', 6)",0.0
"('---O-XO-X', 1)",0.0
"('---O-XO-X', 2)",0.9988601104814627
"('---O-XO-X', 4)",0.0
"('---O-XO-X', 7)",0.0
"('---O-XOX-', 1)",0.0
"('---O-XOX-', 2)",0.0
"('---O-XOX-', 4)",0.0
"('---O-XOX-', 8)",0.0
"('---O-XOXX', 1)",0.5081204763
"('---O-XOXX', 2)",0.0
"('---O-XOXX', 4)",0.49655997
"('---O-XX--', 1)",0.0
"('---O-XX--', 2)",0.0
"('---O-XX--', 4)",0.0
"('---O-XX--', 7)",0.0
"('---O-XX--', 8)",0.0
"('---O-XX-O', 1)",0.0
"('---O-XX-O', 2)",0.0
"('---O-XX-O', 4)",0.0
"('---O-XX-O', 7)",0.0
"('---O-XXO-', 1)",0.0
"('---O-XXO-', 2)",0.0
"('---O-XXO-', 4)",0.0
"('---O-XXO-', 8)",0.0
"('---O-XXOX', 1)",0.6035245200000001
"('---O-XXOX', 2)",0.0
"('---O-XXOX', 4)",0.23409
